-1.95 0 0
-1.85 0 0
-1.75 0 0
-1.65 0 0
-1.55 132.437 0.0885805
-1.45 187.109 0.120835
-1.35 187.187 0.114713
-1.25 187.121 0.117307
-1.15 187.13 0.128829
-1.05 187.119 0.120913
-0.95 187.205 0.122624
-0.85 187.239 0.114848
-0.75 187.238 0.133607
-0.65 187.299 0.123693
-0.55 187.311 0.117987
-0.45 187.348 0.127483
-0.35 187.382 0.131878
-0.25 187.286 0.11936
-0.15 187.382 0.12352
-0.05 187.347 0.124558
0.05 187.356 0.140614
0.15 187.37 0.134801
0.25 187.332 0.139848
0.35 187.372 0.141448
0.45 187.32 0.133429
0.55 187.321 0.133992
0.65 187.281 0.12992
0.75 187.302 0.127769
0.85 187.223 0.129042
0.95 187.229 0.122275
1.05 187.141 0.128245
1.15 187.21 0.117995
1.25 187.14 0.119714
1.35 187.104 0.134098
1.45 187.118 0.114917
1.55 187.132 0.13007
1.65 187.12 0.123171
1.75 187.107 0.130298
1.85 187.114 0.124367
1.95 187.257 0.140422
2.05 187.142 0.132174
2.15 187.168 0.125049
2.25 187.17 0.1217
2.35 187.202 0.11622
2.45 187.291 0.128053
2.55 187.332 0.112833
2.65 187.256 0.131486
2.75 187.284 0.114729
2.85 187.363 0.12456
2.95 187.397 0.12546
3.05 187.416 0.120694
3.15 187.505 0.140829
3.25 187.345 0.133948
3.35 187.347 0.125523
3.45 187.31 0.133131
3.55 187.321 0.122609
3.65 187.285 0.122319
3.75 187.326 0.126566
3.85 187.211 0.130557
3.95 187.251 0.133016
4.05 187.149 0.129805
4.15 187.185 0.120982
4.25 187.06 0.135819
4.35 187.194 0.121638
4.45 187.159 0.112137
4.55 187.063 0.131638
4.65 187.109 0.125219
4.75 23.1692 0.0232838
4.85 0 0
4.95 0 0
